,FullAddress,long,lat
0,Schulstraße 4 14109 Berlin,13.1467899,52.4148208
1,Ringstr. 103-106 12105 Berlin,13.3643345,52.4471634
2,Lichtenrader Damm 224 12305 Berlin,13.4055328,52.39225889999999
3,Massower Straße 37 10315 Berlin,13.5161592,52.5080223
4,Schulstraße 11 12683 Berlin,13.5496103,52.5119388
5,Pablo-Neruda-Straße 6-7 12559 Berlin,13.5881833,52.4429501
6,Singerstraße 8a 10179 Berlin,13.4241024,52.5163452
7,Sybelstraße 20/21 10629 Berlin,13.3022958,52.5021718
8,Böckhstraße 16 10967 Berlin,13.4189841,52.4928578
9,Franz-Jacob-Straße 8 10369 Berlin,13.4672447,52.5267104
10,Bötzowstraße 11 10407 Berlin,13.4310999,52.5301856
11,Helsingforser Straße 11-13 10243 Berlin,13.4454731,52.51018260000001
12,Luckenwalder Straße 53 12629 Berlin,13.5861633,52.54308409999999
13,Werneuchener Straße 15 13055 Berlin,13.495844,52.53955680000001
14,Quitzowstr. 141 10559 Berlin,13.3538373,52.5354154
15,Am Hegewinkel 2a 14169 Berlin,13.2608001,52.4550788
16,Ellernweg 20 12487 Berlin,13.5037153,52.4484574
17,Pfalzburger Str. 23 10719 Berlin,13.3216679,52.4936877
18,Wrangelstraße 98 10997 Berlin,13.4364127,52.5022219
19,Königshorster Straße 10 13439 Berlin,13.3519936,52.5986525
20,Rudower Straße 7 12439 Berlin,13.523033,52.451309
21,Paul-Junius Straße 15 10367 Berlin,13.472971,52.5218953
22,Schönower Straße 8 14165 Berlin,13.2570295,52.4288306
23,Kaiserstraße 17-21 12105 Berlin,13.3807126,52.4448636
24,Pablo-Neruda-Straße 6-7 12559 Berlin,13.5881833,52.4429501
25,Altonaer Straße 26 10555 Berlin,13.3395481,52.5195495
26,Loschmidtstraße 19 10587 Berlin,13.3130939,52.51731849999999
27,Werneuchener Straße 27/28 13055 Berlin,13.4929919,52.5417543
28,Pistoriusstraße 133 13086 Berlin,13.4540848,52.55136839999999
